resourceId,datArchive,resourceType,unrealAssetPath,referencingLayout,layoutName,referencingElement,notes
"0x06001200","client_portal.dat","Image","AC_UI_Icon_06001200","0x21000072","classic_floatypowerbar","RootFloatyPowerBar_Field/Powerbar/2",""
"0x06001200","client_portal.dat","Image","AC_UI_Icon_06001200","0x21000072","classic_floatypowerbar","RootFloatyPowerBar_Field/Powerbar/2",""
"0x0600120E","client_portal.dat","Image","AC_UI_Icon_0600120E","0x21000016","classic_toolbar","RootToolbar_Field/PanelButton_UseSelectedButton",""
"0x0600121C","client_portal.dat","Image","AC_UI_Icon_0600121C","0x21000022","classic_backpack","RootBackpack_Field/Inv_BurdenBar/2",""
"0x0600121D","client_portal.dat","Image","AC_UI_Icon_0600121D","0x21000022","classic_backpack","RootBackpack_Field/Inv_BurdenBar",""
"0x0600124C","client_portal.dat","Image","AC_UI_Icon_0600124C","0x21000006","classic_chat","ChatTargetMenuPopup",""
"0x0600124D","client_portal.dat","Image","AC_UI_Icon_0600124D","0x21000006","classic_chat","ChatTargetEntryTemplate",""
"0x0600124E","client_portal.dat","Image","AC_UI_Icon_0600124E","0x21000006","classic_chat","ChatTargetEntryTemplate",""
"0x0600124E","client_portal.dat","Image","AC_UI_Icon_0600124E","0x21000006","classic_chat","ChatTargetEntryTemplate",""
"0x06001265","client_portal.dat","Image","AC_UI_Icon_06001265","0x21000019","classic_book","RootBook_Field/BookAbs_Bottom",""
"0x06001266","client_portal.dat","Image","AC_UI_Icon_06001266","0x21000040","","Button_BookNextPage",""
"0x06001267","client_portal.dat","Image","AC_UI_Icon_06001267","0x21000040","","Button_BookNextPage",""
"0x06001268","client_portal.dat","Image","AC_UI_Icon_06001268","0x21000040","","Button_BookNextPage",""
"0x06001269","client_portal.dat","Image","AC_UI_Icon_06001269","0x21000040","","Button_BookPreviousPage",""
"0x0600126A","client_portal.dat","Image","AC_UI_Icon_0600126A","0x21000040","","Button_BookPreviousPage",""
"0x0600126B","client_portal.dat","Image","AC_UI_Icon_0600126B","0x21000040","","Button_BookPreviousPage",""
"0x0600126C","client_portal.dat","Image","AC_UI_Icon_0600126C","0x21000019","classic_book","RootBook_Field/CloseBookPanelButton",""
"0x0600126D","client_portal.dat","Image","AC_UI_Icon_0600126D","0x21000019","classic_book","RootBook_Field/CloseBookPanelButton",""
"0x0600126E","client_portal.dat","Image","AC_UI_Icon_0600126E","0x21000019","classic_book","RootBook_Field/BookFiller_Left",""
"0x0600126F","client_portal.dat","Image","AC_UI_Icon_0600126F","0x21000019","classic_book","RootBook_Field/BookPage_Background",""
"0x0600126F","client_portal.dat","Image","AC_UI_Icon_0600126F","0x21000019","classic_book","PaperBackgroundTemplate/BookPage_Background",""
"0x0600126F","client_portal.dat","Image","AC_UI_Icon_0600126F","0x2100001C","classic_examination","RootExamination_Field/ItemExamineUI/ItemExamBackground_Paper",""
"0x0600126F","client_portal.dat","Image","AC_UI_Icon_0600126F","0x21000066","classic_journal","RootJournal_Field/BookPage_Background",""
"0x0600126F","client_portal.dat","Image","AC_UI_Icon_0600126F","0x21000066","classic_journal","PaperBackgroundTemplate/BookPage_Background",""
"0x0600126F","client_portal.dat","Image","AC_UI_Icon_0600126F","0x2100006B","classic_floatyexamination","RootFloatyExamination_Field/ItemExamineUI/ItemExamBackground_Paper",""
"0x06001270","client_portal.dat","Image","AC_UI_Icon_06001270","0x21000019","classic_book","PaperBackgroundTemplate/BookPaper_Bottom",""
"0x06001270","client_portal.dat","Image","AC_UI_Icon_06001270","0x21000066","classic_journal","PaperBackgroundTemplate/BookPaper_Bottom",""
"0x06001271","client_portal.dat","Image","AC_UI_Icon_06001271","0x21000019","classic_book","PaperBackgroundTemplate/BookPaper_Left",""
"0x06001271","client_portal.dat","Image","AC_UI_Icon_06001271","0x21000066","classic_journal","PaperBackgroundTemplate/BookPaper_Left",""
"0x06001272","client_portal.dat","Image","AC_UI_Icon_06001272","0x21000019","classic_book","PaperBackgroundTemplate/BookPaper_Right",""
"0x06001272","client_portal.dat","Image","AC_UI_Icon_06001272","0x21000066","classic_journal","PaperBackgroundTemplate/BookPaper_Right",""
"0x06001273","client_portal.dat","Image","AC_UI_Icon_06001273","0x21000019","classic_book","PaperBackgroundTemplate/BookPaper_Top",""
"0x06001273","client_portal.dat","Image","AC_UI_Icon_06001273","0x21000066","classic_journal","PaperBackgroundTemplate/BookPaper_Top",""
"0x06001274","client_portal.dat","Image","AC_UI_Icon_06001274","0x21000043","","Menu_Book/Menu_Book_SelectionWidget",""
"0x06001274","client_portal.dat","Image","AC_UI_Icon_06001274","0x21000043","","Menu_Book/Menu_Book_SelectionWidget",""
"0x06001275","client_portal.dat","Image","AC_UI_Icon_06001275","0x21000043","","Menu_Book/Menu_Book_SelectionWidget",""
"0x06001275","client_portal.dat","Image","AC_UI_Icon_06001275","0x21000043","","Menu_Book/Menu_Book_SelectionWidget",""
"0x06001276","client_portal.dat","Image","AC_UI_Icon_06001276","0x21000043","","Menu_Book/Menu_Book_SelectionDisplay",""
"0x06001276","client_portal.dat","Image","AC_UI_Icon_06001276","0x21000043","","Menu_Book_PopupItem",""
"0x06001276","client_portal.dat","Image","AC_UI_Icon_06001276","0x21000043","","Menu_Book_PopupItem",""
"0x06001279","client_portal.dat","Image","AC_UI_Icon_06001279","0x21000019","classic_book","RootBook_Field/TitleBackground",""
"0x0600127A","client_portal.dat","Image","AC_UI_Icon_0600127A","0x21000043","","Menu_Book_PopupItem",""
"0x0600127D","client_portal.dat","Image","AC_UI_Icon_0600127D","0x21000026","classic_map","RootMap_Field/Background/MapArea/Map",""
"0x06001282","client_portal.dat","Image","AC_UI_Icon_06001282","0x21000018","classic_abuse","RootAbuse_Field/ClosePanelButton",""
"0x06001282","client_portal.dat","Image","AC_UI_Icon_06001282","0x2100001C","classic_examination","RootExamination_Field/ClosePanelButton",""
"0x06001282","client_portal.dat","Image","AC_UI_Icon_06001282","0x2100001F","classic_urgentassistance","RootUrgentAssistance_Field/ClosePanelButton",""
"0x06001282","client_portal.dat","Image","AC_UI_Icon_06001282","0x2100002B","classic_options","RootOptions_Field/CloseOptionsPanelButton",""
"0x06001283","client_portal.dat","Image","AC_UI_Icon_06001283","0x21000018","classic_abuse","RootAbuse_Field/ClosePanelButton",""
"0x06001283","client_portal.dat","Image","AC_UI_Icon_06001283","0x2100001C","classic_examination","RootExamination_Field/ClosePanelButton",""
"0x06001283","client_portal.dat","Image","AC_UI_Icon_06001283","0x2100001F","classic_urgentassistance","RootUrgentAssistance_Field/ClosePanelButton",""
"0x06001283","client_portal.dat","Image","AC_UI_Icon_06001283","0x2100002B","classic_options","RootOptions_Field/CloseOptionsPanelButton",""
"0x06001285","client_portal.dat","Image","AC_UI_Icon_06001285","0x2100003E","","OptionSliderTemplate",""
"0x06001286","client_portal.dat","Image","AC_UI_Icon_06001286","0x2100003E","","OptionSliderTemplate/1",""
"0x0600128A","client_portal.dat","Image","AC_UI_Icon_0600128A","0x21000018","classic_abuse","RootAbuse_Field/Abuse_PageTwo",""
"0x0600128A","client_portal.dat","Image","AC_UI_Icon_0600128A","0x21000018","classic_abuse","RootAbuse_Field/Abuse_PageThree",""
"0x0600128A","client_portal.dat","Image","AC_UI_Icon_0600128A","0x21000018","classic_abuse","RootAbuse_Field/Abuse_PageOne",""
"0x0600128A","client_portal.dat","Image","AC_UI_Icon_0600128A","0x2100001C","classic_examination","RootExamination_Field/SpellExamineUI/SpellExamBackground",""
"0x0600128A","client_portal.dat","Image","AC_UI_Icon_0600128A","0x2100001C","classic_examination","RootExamination_Field/BasicCreatureExamineUI/BasicCreatureExamBackground",""
"0x0600128A","client_portal.dat","Image","AC_UI_Icon_0600128A","0x2100001C","classic_examination","RootExamination_Field/ItemExamineUI/ItemExamBackground",""
"0x0600128A","client_portal.dat","Image","AC_UI_Icon_0600128A","0x2100001F","classic_urgentassistance","RootUrgentAssistance_Field/UrgentAssistance_PageThree",""
"0x0600128A","client_portal.dat","Image","AC_UI_Icon_0600128A","0x2100001F","classic_urgentassistance","RootUrgentAssistance_Field/UrgentAssistance_PageOne",""
"0x0600128A","client_portal.dat","Image","AC_UI_Icon_0600128A","0x2100001F","classic_urgentassistance","RootUrgentAssistance_Field/UrgentAssistance_PageTwo",""
"0x060012A8","client_portal.dat","Image","AC_UI_Icon_060012A8","0x2100000E","classic_slumlord","RootSlumlord_Field/TabBackground",""
"0x060012A9","client_portal.dat","Image","AC_UI_Icon_060012A9","0x2100000C","classic_salvage","RootSalvage_Field/CloseSalvagePanelButton",""
"0x060012A9","client_portal.dat","Image","AC_UI_Icon_060012A9","0x2100000D","classic_securetrade","RootSecureTrade_Field/CloseSecureTradeButton",""
"0x060012A9","client_portal.dat","Image","AC_UI_Icon_060012A9","0x2100000E","classic_slumlord","RootSlumlord_Field/CloseSlumlordButton",""
"0x060012A9","client_portal.dat","Image","AC_UI_Icon_060012A9","0x21000012","classic_vendor","RootVendor_Field/CloseVendorPanelButton",""
